id,condition,layer,pc1,pc2,true_quality,answer_type
math_001,clean,28,-14.671413,5.973661,10,correct
math_002,clean,28,-12.30205,5.9462247,2,incorrect
math_003,clean,28,-8.009512,6.401214,10,correct
math_004,clean,28,-13.375299,5.4078317,2,incorrect
math_005,clean,28,-13.286697,8.239244,10,correct
math_006,clean,28,-11.277197,6.400986,3,incorrect
math_007,clean,28,-3.4435205,1.0079224,10,correct
math_008,clean,28,-8.245943,2.9961712,10,correct
math_009,clean,28,-6.396408,5.043846,2,incorrect
math_010,clean,28,-16.138922,5.2761664,10,correct
math_011,clean,28,-13.023909,5.110384,2,incorrect
math_012,clean,28,-14.445112,5.541528,10,correct
math_013,clean,28,-13.092613,5.102635,2,incorrect
math_014,clean,28,3.9226215,8.842052,10,correct
math_015,clean,28,6.4531,9.196,2,incorrect
logic_001,clean,28,0.32570648,-12.296234,10,correct
logic_002,clean,28,-4.9893312,-16.534586,1,incorrect
logic_003,clean,28,-3.0100107,-6.9800687,10,correct
logic_004,clean,28,-3.4432478,-12.167552,3,incorrect
logic_005,clean,28,-7.166745,-10.115951,10,correct
logic_006,clean,28,13.645269,1.9642861,9,mostly_correct
reading_001,clean,28,11.117913,-13.775818,10,correct
reading_002,clean,28,34.98539,-3.614788,1,incorrect
reading_003,clean,28,-7.9164553,-10.950063,10,correct
reading_004,clean,28,20.101883,-8.302144,10,correct
reading_005,clean,28,4.4468894,-15.442278,2,incorrect
science_001,clean,28,22.496906,7.018035,10,correct
science_002,clean,28,33.12831,10.411433,2,incorrect
science_003,clean,28,-14.057869,-4.91159,10,correct
science_004,clean,28,37.66844,9.211503,2,incorrect
math_001,no_anchor_context,28,-20.119596,-1.6935227,10,correct
math_002,no_anchor_context,28,-18.236742,-2.1597977,2,incorrect
math_003,no_anchor_context,28,-18.740976,-1.6130731,10,correct
math_004,no_anchor_context,28,-20.065239,-1.829109,2,incorrect
math_005,no_anchor_context,28,-21.85869,-0.89725333,10,correct
math_006,no_anchor_context,28,-21.228518,-0.98046285,3,incorrect
math_007,no_anchor_context,28,-11.104485,-8.027483,10,correct
math_008,no_anchor_context,28,-12.019575,-6.360783,10,correct
math_009,no_anchor_context,28,-11.889919,-5.0855575,2,incorrect
math_010,no_anchor_context,28,-21.11111,-2.399186,10,correct
math_011,no_anchor_context,28,-21.295897,-2.1764452,2,incorrect
math_012,no_anchor_context,28,-20.98901,-4.398412,10,correct
math_013,no_anchor_context,28,-19.489841,-3.8983407,2,incorrect
math_014,no_anchor_context,28,-13.4091015,-1.8496368,10,correct
math_015,no_anchor_context,28,-13.969307,-2.075102,2,incorrect
logic_001,no_anchor_context,28,-3.709982,-16.289299,10,correct
logic_002,no_anchor_context,28,-4.544009,-19.24282,1,incorrect
logic_003,no_anchor_context,28,0.15717077,-11.96786,10,correct
logic_004,no_anchor_context,28,3.2789345,-14.297712,3,incorrect
logic_005,no_anchor_context,28,-4.9600077,-12.984943,10,correct
logic_006,no_anchor_context,28,3.0168214,-10.399737,9,mostly_correct
reading_001,no_anchor_context,28,0.61737156,-16.897743,10,correct
reading_002,no_anchor_context,28,8.087317,-15.727314,1,incorrect
